"features"	"1_Henry_IV"	"2_Henry_IV"	"2_Henry_VI"	"3_Henry_VI"	"A_Midsummer_Night's_Dream"	"All's_Well_That_Ends_Well"	"Antony_and_Cleopatra"	"As_You_Like_It"	"Coriolanus"	"Cymbeline"	"Hamlet"	"Henry_V"	"Julius_Caesar"	"King_John"	"King_Lear"	"Love's_Labours_Lost"	"Much_Ado_About_Nothing"	"Othello"	"Richard_II"	"Richard_III"	"Romeo_and_Juliet"	"The_Comedy_of_Errors"	"The_Merchant_of_Venice"	"The_Merry_Wives_of_Windsor"	"The_Taming_of_the_Shrew"	"The_Tempest"	"The_Two_Gentlemen_of_Verona"	"The_Winter's_Tale"	"Troilus_and_Cressida"	"Twelfth_Night"
"l o v e"	0.127122787574562	0.0843195711747523	0.0956880569343939	0.157599445249953	0.767690253671562	0.29919287503479	0.196507242242718	0.606754436176302	0.165416535949576	0.136518771331058	0.215124937944729	0.190941510122708	0.220345207491737	0.171827456595669	0.219888414834263	0.475220638153428	0.478354460655346	0.336792281085017	0.117414203763964	0.205584614984256	0.568908637985592	0.123058892469968	0.279118889559445	0.230082283664158	0.323650142090306	0.104300004740909	0.970138658842459	0.145105832623577	0.284561108046111	0.400292687126071
"w e l l"	0.306398513641253	0.334266871442768	0.206327372764787	0.185967345394944	0.171657448025939	0.361814639576955	0.342302938100219	0.335813775996947	0.268088868607934	0.159271899886234	0.250979094268851	0.176901693201921	0.281552209572775	0.232683014139968	0.246143747948802	0.246543037838997	0.322889260942358	0.31251896352934	0.228119024455701	0.252426679157884	0.279404834040261	0.193378259595664	0.354556427278214	0.417267870373981	0.382854436375118	0.175413644336984	0.298140173205243	0.160878205734835	0.229391097302477	0.31851246072397
"h e a r"	0.260764692460641	0.225855994218087	0.221278631660786	0.3341108239299	0.333778371161549	0.191344280545505	0.348641881398371	0.259492463270368	0.370761201266292	0.233219567690557	0.253737106293783	0.202173363659338	0.371322479291631	0.232683014139968	0.308500164095832	0.296566262907779	0.390656142868532	0.242733175556769	0.265020631352947	0.242017331563744	0.245741601023362	0.16407852329329	0.248943874471937	0.304176578403463	0.24471108304389	0.227563646707438	0.222422033978515	0.261821393646888	0.209065303870612	0.241036456764086
"t i o n"	0.237947781870335	0.334266871442768	0.170444351414389	0.10086364495997	0.147816135800114	0.313108822710827	0.212354600488099	0.236596069452395	0.350797136582723	0.27872582480091	0.37508963539081	0.359419313172156	0.24074754151875	0.268480400930732	0.288808664259928	0.289420087897953	0.271067527704696	0.385338916196371	0.167734576805663	0.202982278085721	0.148118225274355	0.146498681511866	0.282890766445383	0.26517958117225	0.0907799179033786	0.237045465320248	0.17509819696181	0.290211665247153	0.394901129533378	0.331425128050618
"o u g h"	0.224909547247303	0.23489023398681	0.263142156569583	0.204879278824939	0.386229258058364	0.229613136654606	0.282082976767773	0.209883609998092	0.282348914810484	0.27872582480091	0.245463070218986	0.289220228568219	0.183621006243114	0.196885627349204	0.249425664588119	0.196519812770215	0.251136091844056	0.321621457612719	0.291858163641853	0.153537877013558	0.198613074799704	0.257837679460885	0.21876885938443	0.198884685879187	0.260498894853173	0.241786374626653	0.203492499171833	0.334374309958676	0.223583727750515	0.314208238281754
"e v e r"	0.270543368427915	0.243924473755533	0.227259135219185	0.195423312109941	0.367156208277704	0.302671861953799	0.24404931697886	0.312917382178973	0.236716766962325	0.199089874857793	0.146174637321419	0.238676887653385	0.310115477210593	0.189726149991051	0.229734164752215	0.260835387858649	0.374710994180021	0.297348140057042	0.218054949847362	0.21859629947693	0.168316165084495	0.257837679460885	0.248943874471937	0.245681082556643	0.272339753710136	0.232304556013843	0.184562964365151	0.261821393646888	0.217776358198554	0.262557568975165
"k i n g"	0.342253658854591	0.301141325624115	0.523294061359966	0.589421925234823	0.0715239366774747	0.205260228221542	0.174320940699185	0.0992177065445526	0.0855602772152982	0.216154721274175	0.278559214518175	0.421194507623621	0.0816093361080508	0.40093073205656	0.324909747292419	0.207239075284954	0.0916846049589412	0.0728199526670308	0.603844476500386	0.424180914461186	0.0841580825422474	0.0703193671256959	0.0603500301750151	0.0701945950161837	0.0868329649510578	0.270231830465083	0.0567886044200464	0.290211665247153	0.127762130143152	0.0903886712865321
"f r o m"	0.228169105903061	0.240913060499292	0.287064170803182	0.283679001449915	0.262254434484074	0.247008071249652	0.253557731926088	0.164090822362145	0.205344665316716	0.310011376564278	0.245463070218986	0.22182910734844	0.199942873464724	0.293538571684267	0.278962914341976	0.160788937721085	0.103643466475325	0.224528187390012	0.308631621322419	0.260233689853488	0.282771157341951	0.380896571930853	0.252715751357876	0.109191592247397	0.130249447426587	0.199118190869009	0.321802091713596	0.255512444402385	0.229391097302477	0.154952007919769
"w o u l"	0.205352195312755	0.231878820730569	0.143532085401591	0.163903423059951	0.190730497806599	0.323545783467854	0.237710373680707	0.297653119633658	0.316573025696603	0.247440273037543	0.212366925919797	0.193749473506865	0.179540539437712	0.164667979237516	0.23629799803085	0.203665987780041	0.366738419835765	0.273074822501365	0.164379885269549	0.179561245998907	0.201979398101394	0.281277468502783	0.279118889559445	0.300276878680342	0.142090306283549	0.270231830465083	0.326534475415267	0.277593766758146	0.249716890734342	0.305599793397323
"o t h e"	0.169497050099417	0.195741861655675	0.101668560492793	0.346718779549896	0.12397482357429	0.281797940439744	0.142626224208424	0.309101316542645	0.250976813164875	0.264505119453925	0.262011142368581	0.188133546738551	0.159138205410699	0.293538571684267	0.219888414834263	0.103619537642477	0.342820696802998	0.251835669640148	0.161025193733436	0.411169229968512	0.208712044704773	0.228537943158512	0.154646952323476	0.237881683110401	0.142090306283549	0.189636372256199	0.416449765747007	0.223967698179868	0.255524260286303	0.176473120130848
